Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
2008,Ireland,Syrian Arab Rep.,36,16,,,,,,52
2008,Netherlands,Afghanistan,13477,0,14,,,,,13491
2008,Netherlands,Eritrea,917,0,,,,,,917
2008,Netherlands,Gambia,14,0,,,,,,14
2008,Netherlands,Iran (Islamic Rep. of),2956,0,,,,,,2956
2008,Netherlands,Iraq,15553,0,,,,,,15553
2008,Netherlands,Mali,6,0,,,,,,6
2008,Netherlands,Russian Federation,1206,0,,,,,,1206
2008,Netherlands,Somalia,8565,0,,,,,,8565
2008,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),1991,0,5,,,,,1996
2008,Netherlands,Syrian Arab Rep.,1326,0,,,,,,1326
2008,Poland,Afghanistan,68,5,,,,,,73
2008,Poland,Eritrea,2,,,,,,,2
2008,Poland,Gambia,,1,,,,,,1
2008,Poland,Iran (Islamic Rep. of),5,0,,,,,,5
2008,Poland,Iraq,77,38,,,,,,115
2008,Poland,Russian Federation,12034,4024,,,,,,16058
2008,Poland,Somalia,63,9,,,,,,72
2008,Poland,Serbia and Kosovo (S/RES/1244 (1999)),11,0,,,,,,11
2008,Poland,Syrian Arab Rep.,8,4,,,,,,12
2008,Portugal,Afghanistan,8,0,,,,,,8
2008,Portugal,Eritrea,11,0,,,,,,11
2008,Portugal,Gambia,1,,,,,,,1
2008,Portugal,Iran (Islamic Rep. of),2,0,,,,,,2
2008,Portugal,Iraq,5,0,,,,,,5
2008,Portugal,Russian Federation,7,0,,,,,,7
2008,Portugal,Somalia,19,0,,,,,,19
2008,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),2,0,,,,,,2
2008,Sweden,Afghanistan,2946,604,19,,,,,3569
2008,Sweden,Eritrea,2165,606,,,,,,2771
2008,Sweden,Gambia,11,20,,,,,,31
2008,Sweden,Iran (Islamic Rep. of),1909,840,,,,,,2749
2008,Sweden,Iraq,32120,7824,,,,,,39944
2008,Sweden,Mali,2,5,,,,,,7
2008,Sweden,Russian Federation,1583,643,,,,,,2226
2008,Sweden,Somalia,6753,2876,,,,,,9629
2008,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),8692,1884,36,,,,,10612
2008,Sweden,Syrian Arab Rep.,1084,617,,,,,,1701
2009,Austria,Afghanistan,6401,2808,,,,,,9209
2009,Austria,Eritrea,48,31,,,,,,79
2009,Austria,Gambia,48,189,,,,,,237
2009,Austria,Iran (Islamic Rep. of),2183,606,,,,,,2789
2009,Austria,Iraq,2183,807,,,,,,2990
2009,Austria,Mali,1,25,,,,,,26
2009,Austria,Russian Federation,15828,4693,,,,,,20521
2009,Austria,Somalia,830,485,,,,,,1315
2009,Austria,Serbia and Kosovo (S/RES/1244 (1999)),3473,3957,923,,,,,8353
2009,Austria,Syrian Arab Rep.,385,495,,,,,,880
2009,Belgium,Afghanistan,271,0,1,,,,,272
2009,Belgium,Eritrea,24,0,,,,,,24
2009,Belgium,Iran (Islamic Rep. of),339,0,,,,,,339
2009,Belgium,Iraq,718,0,,,,,,718
2009,Belgium,Mali,4,0,,,,,,4
2009,Belgium,Russian Federation,3428,0,,,,,,3428
2009,Belgium,Somalia,98,0,,,,,,98
2009,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1059,0,91,,,,,1150
2009,Belgium,Syrian Arab Rep.,177,0,,,,,,177
2009,Germany,Afghanistan,30320,3891,6,,,,971,35188
2009,Germany,Eritrea,4293,299,,,,,,4592
2009,Germany,Gambia,469,282,,,,,,751
2009,Germany,Iran (Islamic Rep. of),20226,2684,,,,,,22910
2009,Germany,Iraq,49033,5403,530,,,,,54966
2009,Germany,Iraq,,,,,,,6704,6704
2009,Germany,Mali,72,17,,,,,,89
2009,Germany,Russian Federation,37642,1948,,,,,,39590
2009,Germany,Somalia,2407,326,,,,,,2733
2009,Germany,Serbia and Kosovo (S/RES/1244 (1999)),123700,3756,374,,,,,127830
2009,Germany,Serbia and Kosovo (S/RES/1244 (1999)),,,,,,,10000,10000
2009,Germany,Syrian Arab Rep.,10217,1811,,,,,,12028
2009,Denmark,Afghanistan,5026,328,,,,,,5354
2009,Denmark,Eritrea,21,15,,,,,,36
2009,Denmark,Gambia,,2,,,,,,2
2009,Denmark,Iran (Islamic Rep. of),864,171,,,,,,1035
2009,Denmark,Iraq,5467,71,320,,,,,5858
2009,Denmark,Russian Federation,651,47,,,,,,698
2009,Denmark,Somalia,1987,44,,,,,,2031
2009,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),2466,37,6,,,,,2509
2009,Denmark,Syrian Arab Rep.,392,152,,,,,,544
2009,Spain,Afghanistan,70,0,,,,,,70
2009,Spain,Eritrea,16,0,,,,,,16
2009,Spain,Gambia,8,0,,,,,,8
2009,Spain,Iran (Islamic Rep. of),50,0,,,,,,50
2009,Spain,Iraq,265,0,,,,,,265
2009,Spain,Russian Federation,464,0,,,,,,464
2009,Spain,Somalia,65,0,,,,,,65
2009,Spain,Serbia and Kosovo (S/RES/1244 (1999)),55,0,1,,,,,56
2009,Spain,Syrian Arab Rep.,33,0,,,,,,33
2009,Finland,Afghanistan,656,346,,,,,,1002
2009,Finland,Eritrea,5,8,,,,,,13
2009,Finland,Gambia,11,29,,,,,,40
2009,Finland,Iran (Islamic Rep. of),278,129,,,,,,407
2009,Finland,Iraq,1627,903,,,,,,2530
2009,Finland,Russian Federation,412,433,,,,,,845
2009,Finland,Somalia,1694,694,,,,,,2388
2009,Finland,Serbia and Kosovo (S/RES/1244 (1999)),800,225,6,,,,,1031
2009,Finland,Syrian Arab Rep.,52,31,,,,,,83
2009,France,Afghanistan,1567,0,11,,,,,1578
2009,France,Eritrea,369,0,,,,,,369
2009,France,Gambia,79,0,,,,,,79
2009,France,Iran (Islamic Rep. of),1735,0,,,,,,1735
2009,France,Iraq,2147,0,,,,,,2147
2009,France,Mali,2034,0,,,,,,2034
2009,France,Russian Federation,8942,0,,,,,,8942
2009,France,Somalia,835,0,,,,,,835
2009,France,Serbia and Kosovo (S/RES/1244 (1999)),9437,0,82,,,,,9519
2009,France,Syrian Arab Rep.,244,0,,,,,,244
2009,United Kingdom,Afghanistan,23658,0,99,,,,,23757
2009,United Kingdom,Eritrea,8829,0,,,,,,8829
2009,United Kingdom,Gambia,307,0,,,,,,307
2009,United Kingdom,Iran (Islamic Rep. of),10845,0,,,,,,10845
2009,United Kingdom,Iraq,21287,0,340,,,,,21627
2009,United Kingdom,Mali,10,0,,,,,,10
2009,United Kingdom,Russian Federation,1820,0,,,,,,1820
2009,United Kingdom,Somalia,32299,0,,,,,,32299
2009,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),8009,0,47,,,,,8056
2009,United Kingdom,Syrian Arab Rep.,460,0,,,,,,460
2009,Hungary,Afghanistan,1907,198,,,,,,2105
2009,Hungary,Eritrea,3,,,,,,,3
2009,Hungary,Iran (Islamic Rep. of),164,36,,,,,,200
2009,Hungary,Iraq,1166,8,,,,,,1174
2009,Hungary,Russian Federation,133,12,,,,,,145
2009,Hungary,Somalia,397,19,,,,,,416
2009,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),702,128,266,,,,,1096
2009,Hungary,Syrian Arab Rep.,43,3,,,,,,46
2009,Ireland,Afghanistan,149,55,,,,,,204
2009,Ireland,Eritrea,118,23,,,,,,141
2009,Ireland,Gambia,7,1,,,,,,8
2009,Ireland,Iran (Islamic Rep. of),197,47,,,,,,244
2009,Ireland,Iraq,688,75,,,,,,763
2009,Ireland,Russian Federation,271,33,,,,,,304
2009,Ireland,Somalia,590,155,,,,,,745
2009,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),324,23,2,,,,,349
2009,Ireland,Syrian Arab Rep.,34,6,,,,,,40
2009,Netherlands,Afghanistan,9383,1604,5,,,,,10992
2009,Netherlands,Eritrea,1132,335,,,,,,1467
2009,Netherlands,Gambia,15,14,,,,,,29
2009,Netherlands,Iran (Islamic Rep. of),2662,562,,,,,,3224
2009,Netherlands,Iraq,16844,4893,450,,,,,22187
2009,Netherlands,Mali,7,5,,,,,,12
2009,Netherlands,Russian Federation,1168,138,,,,,,1306
2009,Netherlands,Somalia,11068,3767,,,,,,14835
2009,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),1723,101,16,,,,,1840
2009,Netherlands,Syrian Arab Rep.,1254,98,,,,,,1352
2009,Poland,Afghanistan,67,10,,,,,,77
2009,Poland,Eritrea,2,,,,,,,2
2009,Poland,Gambia,,1,,,,,,1
2009,Poland,Iran (Islamic Rep. of),9,3,,,,,,12
2009,Poland,Iraq,100,8,,,,,,108
2009,Poland,Russian Federation,14510,1781,,,,,,16291
2009,Poland,Somalia,65,1,,,,,,66
2009,Poland,Serbia and Kosovo (S/RES/1244 (1999)),9,2,,,,,,11
2009,Poland,Syrian Arab Rep.,8,3,,,,,,11
2009,Portugal,Afghanistan,7,,,,,,,7
2009,Portugal,Eritrea,17,0,,,,,,17
2009,Portugal,Gambia,1,0,,,,,,1
2009,Portugal,Iran (Islamic Rep. of),3,0,,,,,,3
2009,Portugal,Iraq,6,0,,,,,,6
2009,Portugal,Russian Federation,7,1,,,,,,8
2009,Portugal,Somalia,24,0,,,,,,24
2009,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),2,,,,,,,2
2009,Sweden,Afghanistan,3637,1061,4,,,,,4702
2009,Sweden,Eritrea,3018,498,,,,,,3516
2009,Sweden,Gambia,15,18,,,,,,33
2009,Sweden,Iran (Islamic Rep. of),2148,1142,,,,,,3290
2009,Sweden,Iraq,31558,3106,1990,,,,,36654
2009,Sweden,Mali,5,2,,,,,,7
2009,Sweden,Russian Federation,1705,751,,,,,,2456
2009,Sweden,Somalia,10636,2889,,,,,,13525
2009,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),8852,1256,76,,,,,10184
2009,Sweden,Syrian Arab Rep.,1118,594,,,,,,1712
2010,Austria,Afghanistan,7359,2696,,,,,,10055
2010,Austria,Eritrea,63,19,,,,,,82
2010,Austria,Gambia,71,112,,,,,,183
2010,Austria,Iran (Islamic Rep. of),2357,577,,,,,,2934
2010,Austria,Iraq,2320,912,,,,,,3232
2010,Austria,Mali,1,31,,,,,,32
2010,Austria,Russian Federation,17229,3870,,,,,,21099
2010,Austria,Somalia,1093,407,,,,,,1500
2010,Austria,Serbia and Kosovo (S/RES/1244 (1999)),3353,2797,,,,,,6150
2010,Austria,Syrian Arab Rep.,505,471,,,,,,976
2010,Belgium,Afghanistan,501,0,,,,,,501
2010,Belgium,Eritrea,36,0,,,,,,36
2010,Belgium,Iran (Islamic Rep. of),341,0,,,,,,341
2010,Belgium,Iraq,962,0,,,,,,962
2010,Belgium,Mali,5,0,,,,,,5
2010,Belgium,Russian Federation,2964,0,,,,,,2964
2010,Belgium,Somalia,117,0,,,,,,117
2010,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1040,0,,,,,,1040
2010,Belgium,Syrian Arab Rep.,229,0,,,,,,229
2010,Germany,Afghanistan,30404,7024,,,,,1073,38501
2010,Germany,Eritrea,4519,536,,,,,,5055
2010,Germany,Gambia,469,327,,,,,,796
2010,Germany,Iran (Islamic Rep. of),20444,3436,,,,,,23880
2010,Germany,Iraq,50432,5589,,,,,,56021
2010,Germany,Iraq,,,,,,,6709,6709
2010,Germany,Mali,75,27,,,,,,102
2010,Germany,Russian Federation,39460,2020,,,,,,41480
2010,Germany,Somalia,2620,1921,,,,,,4541
2010,Germany,Serbia and Kosovo (S/RES/1244 (1999)),122340,7789,,,,,,130129
2010,Germany,Serbia and Kosovo (S/RES/1244 (1999)),,,,,,,8500,8500
2010,Germany,Syrian Arab Rep.,10518,2690,,,,,,13208
2010,Denmark,Afghanistan,4467,974,,,,,,5441
2010,Denmark,Eritrea,29,20,,,,,,49
2010,Denmark,Gambia,,7,,,,,,7
2010,Denmark,Iran (Islamic Rep. of),1030,461,,,,,,1491
2010,Denmark,Iraq,3962,210,,,,,,4172
2010,Denmark,Russian Federation,748,247,,,,,,995
2010,Denmark,Somalia,1497,87,,,,,,1584
2010,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),2288,106,,,,,,2394
2010,Denmark,Syrian Arab Rep.,750,483,,,,,,1233
2010,Spain,Afghanistan,59,17,,,,,,76
2010,Spain,Eritrea,16,24,,,,,,40
2010,Spain,Gambia,8,59,,,,,,67
2010,Spain,Iran (Islamic Rep. of),50,39,,,,,,89
2010,Spain,Iraq,263,29,,,,,,292
2010,Spain,Mali,1,6,,,,,,7
2010,Spain,Russian Federation,377,22,,,,,,399
2010,Spain,Somalia,78,79,,,,,,157
2010,Spain,Serbia and Kosovo (S/RES/1244 (1999)),41,2,,,,,,43
2010,Spain,Syrian Arab Rep.,35,12,,,,,,47
2010,Finland,Afghanistan,807,235,,,,,,1042
2010,Finland,Eritrea,7,5,,,,,,12
2010,Finland,Gambia,13,15,,,,,,28
2010,Finland,Iran (Islamic Rep. of),323,93,,,,,,416
2010,Finland,Iraq,2188,379,,,,,,2567
2010,Finland,Mali,,2,,,,,,2
2010,Finland,Russian Federation,469,347,,,,,,816
2010,Finland,Somalia,2226,325,,,,,,2551
2010,Finland,Serbia and Kosovo (S/RES/1244 (1999)),660,82,,,,,,742
2010,Finland,Syrian Arab Rep.,59,23,,,,,,82
2010,France,Afghanistan,1790,0,,,,,,1790
2010,France,Eritrea,663,0,,,,,,663
2010,France,Gambia,87,0,,,,,,87
2010,France,Iran (Islamic Rep. of),1917,0,,,,,,1917
2010,France,Iraq,2366,0,,,,,,2366
2010,France,Mali,2614,0,,,,,,2614
2010,France,Russian Federation,9858,0,,,,,,9858
2010,France,Somalia,1027,0,,,,,,1027
2010,France,Serbia and Kosovo (S/RES/1244 (1999)),9985,0,,,,,,9985
2010,France,Syrian Arab Rep.,280,0,,,,,,280
2010,United Kingdom,Afghanistan,23406,0,,,,,,23406
2010,United Kingdom,Eritrea,9430,0,,,,,,9430
2010,United Kingdom,Gambia,443,0,,,,,,443
2010,United Kingdom,Iran (Islamic Rep. of),10837,0,,,,,,10837
2010,United Kingdom,Iraq,18143,0,,,,,,18143
2010,United Kingdom,Mali,10,0,,,,,,10
2010,United Kingdom,Russian Federation,1603,0,,,,,,1603
2010,United Kingdom,Somalia,23893,0,,,,,,23893
2010,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),6759,0,,,,,,6759
2010,United Kingdom,Syrian Arab Rep.,499,0,,,,,,499
2010,Hungary,Afghanistan,1767,54,,,,,,1821
2010,Hungary,Eritrea,2,,,,,,,2
2010,Hungary,Iran (Islamic Rep. of),164,13,,,,,,177
2010,Hungary,Iraq,1091,10,,,,,,1101
2010,Hungary,Russian Federation,123,10,,,,,,133
2010,Hungary,Somalia,421,11,,,,,,432
2010,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),337,71,,,,,,408
2010,Hungary,Syrian Arab Rep.,39,8,,,,,,47
2010,Ireland,Afghanistan,157,181,,,,,,338
2010,Ireland,Eritrea,121,43,,,,,,164
2010,Ireland,Gambia,7,10,,,,,,17
2010,Ireland,Iran (Islamic Rep. of),205,109,,,,,,314
2010,Ireland,Iraq,650,123,,,,,,773
2010,Ireland,Mali,,1,,,,,,1
2010,Ireland,Russian Federation,267,51,,,,,,318
2010,Ireland,Somalia,589,206,,,,,,795
2010,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),313,48,,,,,,361
2010,Ireland,Syrian Arab Rep.,34,10,,,,,,44
2010,Netherlands,Afghanistan,6731,1510,,,,,,8241
2010,Netherlands,Eritrea,1423,248,,,,,,1671
2010,Netherlands,Gambia,19,12,,,,,,31
2010,Netherlands,Iran (Islamic Rep. of),2758,682,,,,,,3440
2010,Netherlands,Iraq,17779,3025,,,,,,20804
2010,Netherlands,Mali,8,13,,,,,,21
2010,Netherlands,Russian Federation,1104,228,,,,,,1332
2010,Netherlands,Somalia,13736,2268,,,,,,16004
2010,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),1269,97,,,,,,1366
2010,Netherlands,Syrian Arab Rep.,1186,133,,,,,,1319
2010,Poland,Afghanistan,76,15,,,,,,91
2010,Poland,Eritrea,2,1,,,,,,3
2010,Poland,Gambia,,2,,,,,,2
2010,Poland,Iran (Islamic Rep. of),11,4,,,,,,15
2010,Poland,Iraq,111,19,,,,,,130
2010,Poland,Russian Federation,14730,956,,,,,,15686
2010,Poland,Somalia,55,5,,,,,,60
2010,Poland,Serbia and Kosovo (S/RES/1244 (1999)),4,1,,,,,,5
2010,Poland,Syrian Arab Rep.,8,8,,,,,,16
2010,Portugal,Afghanistan,6,1,,,,,,7
2010,Portugal,Eritrea,21,2,,,,,,23
2010,Portugal,Gambia,1,0,,,,,,1
2010,Portugal,Iran (Islamic Rep. of),6,5,,,,,,11
2010,Portugal,Iraq,6,,,,,,,6
2010,Portugal,Russian Federation,7,4,,,,,,11
2010,Portugal,Somalia,24,2,,,,,,26
2010,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),2,,,,,,,2
2010,Sweden,Afghanistan,4150,1708,,,,,,5858
2010,Sweden,Eritrea,3921,580,,,,,,4501
2010,Sweden,Gambia,27,43,,,,,,70
2010,Sweden,Iran (Islamic Rep. of),2360,1270,,,,,,3630
2010,Sweden,Iraq,29013,1580,,,,,,30593
2010,Sweden,Mali,5,5,,,,,,10
2010,Sweden,Russian Federation,1739,767,,,,,,2506
2010,Sweden,Somalia,15238,1553,,,,,,16791
2010,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),6848,2824,,,,,,9672
2010,Sweden,Syrian Arab Rep.,1169,371,,,,,,1540
2011,Austria,Afghanistan,8636,4576,,,,,,13212
2011,Austria,Eritrea,76,24,,,,,,100
2011,Austria,Gambia,83,103,,,,,,186
2011,Austria,Iran (Islamic Rep. of),2509,624,,,,,,3133
2011,Austria,Iraq,2622,893,,,,,,3515
2011,Austria,Mali,1,31,,,,,,32
2011,Austria,Russian Federation,18473,3109,,,,,,21582
2011,Austria,Somalia,1473,691,,,,,,2164
2011,Austria,Serbia and Kosovo (S/RES/1244 (1999)),3290,1598,,,,,,4888
2011,Austria,Syrian Arab Rep.,903,456,,,,,,1359
2011,Belgium,Afghanistan,785,1765,,,,,,2550
2011,Belgium,Eritrea,81,14,,,,,,95
2011,Belgium,Gambia,,11,,,,,,11
2011,Belgium,Iran (Islamic Rep. of),347,559,,,,,,906
2011,Belgium,Iraq,1329,853,,,,,,2182
2011,Belgium,Mali,9,19,,,,,,28
2011,Belgium,Russian Federation,2894,908,,,,,,3802
2011,Belgium,Somalia,247,184,,,,,,431
2011,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1066,1050,,,,,,2116
2011,Belgium,Syrian Arab Rep.,312,666,,,,,,978
2011,Germany,Afghanistan,30425,11087,,,,,1358,42870
2011,Germany,Eritrea,4606,762,,,,,,5368
2011,Germany,Gambia,473,286,,,,,,759
2011,Germany,Iran (Islamic Rep. of),20462,4695,,,,,,25157
2011,Germany,Iraq,48976,6074,905,,,,,55955
2011,Germany,Iraq,,,,,,,7213,7213
2011,Germany,Mali,66,34,,,,,,100
2011,Germany,Russian Federation,39816,2593,,,,,,42409
2011,Germany,Somalia,3139,1582,,,,,,4721
2011,Germany,Serbia and Kosovo (S/RES/1244 (1999)),110455,7635,,,,,,118090
2011,Germany,Serbia and Kosovo (S/RES/1244 (1999)),,,,,,,7838,7838
2011,Germany,Syrian Arab Rep.,10155,4713,,,,,,14868
2011,Denmark,Afghanistan,3108,160,,,,,,3268
2011,Denmark,Eritrea,39,2,,,,,,41
2011,Denmark,Iran (Islamic Rep. of),1245,99,,,,,,1344
2011,Denmark,Iraq,1910,13,685,,,,,2608
2011,Denmark,Russian Federation,794,27,,,,,,821
2011,Denmark,Somalia,904,39,,,,,,943
2011,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),1757,27,,,,,,1784
2011,Denmark,Syrian Arab Rep.,1197,93,,,,,,1290
2011,Spain,Afghanistan,62,0,,,,,,62
2011,Spain,Eritrea,20,0,,,,,,20
2011,Spain,Gambia,9,0,,,,,,9
2011,Spain,Iran (Islamic Rep. of),55,0,,,,,,55
2011,Spain,Iraq,250,0,,,,,,250
2011,Spain,Mali,1,0,,,,,,1
2011,Spain,Russian Federation,305,0,,,,,,305
2011,Spain,Somalia,147,0,,,,,,147
2011,Spain,Serbia and Kosovo (S/RES/1244 (1999)),23,0,,,,,,23
2011,Spain,Syrian Arab Rep.,32,0,,,,,,32
2011,Finland,Afghanistan,948,280,,,,,,1228
2011,Finland,Eritrea,12,9,,,,,,21
2011,Finland,Gambia,16,8,,,,,,24
2011,Finland,Iran (Islamic Rep. of),359,141,,,,,,500
2011,Finland,Iraq,2508,394,129,,,,,3031
2011,Finland,Russian Federation,577,291,,,,,,868
2011,Finland,Somalia,2404,270,,,,,,2674
2011,Finland,Serbia and Kosovo (S/RES/1244 (1999)),365,83,,,,,,448
2011,Finland,Syrian Arab Rep.,86,75,,,,,,161
2011,France,Afghanistan,2120,0,,,,,,2120
2011,France,Eritrea,1093,0,,,,,,1093
2011,France,Gambia,110,0,,,,,,110
2011,France,Iran (Islamic Rep. of),2064,0,,,,,,2064
2011,France,Iraq,2519,0,,,,,,2519
2011,France,Mali,3082,0,,,,,,3082
2011,France,Russian Federation,10882,0,,,,,,10882
2011,France,Somalia,1303,0,,,,,,1303
2011,France,Serbia and Kosovo (S/RES/1244 (1999)),10891,0,,,,,,10891
2011,France,Syrian Arab Rep.,351,0,,,,,,351
2011,United Kingdom,Afghanistan,14424,1402,,,,,,15826
2011,United Kingdom,Eritrea,9851,446,,,,,,10297
2011,United Kingdom,Gambia,605,247,,,,,,852
2011,United Kingdom,Iran (Islamic Rep. of),11632,1704,,,,,,13336
2011,United Kingdom,Iraq,15652,521,835,,,,,17008
2011,United Kingdom,Mali,12,7,,,,,,19
2011,United Kingdom,Russian Federation,1421,93,,,,,,1514
2011,United Kingdom,Somalia,19668,424,,,,,,20092
2011,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),4364,23,,,,,,4387
2011,United Kingdom,Syrian Arab Rep.,693,339,,,,,,1032
2011,Hungary,Afghanistan,1697,0,,,,,,1697
2011,Hungary,Eritrea,2,0,,,,,,2
2011,Hungary,Iran (Islamic Rep. of),167,0,,,,,,167
2011,Hungary,Iraq,998,0,,,,,,998
2011,Hungary,Russian Federation,115,0,,,,,,115
2011,Hungary,Somalia,406,0,,,,,,406
2011,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),272,0,,,,,,272
2011,Hungary,Syrian Arab Rep.,42,0,,,,,,42
2011,Ireland,Afghanistan,170,209,,,,,,379
2011,Ireland,Eritrea,119,42,,,,,,161
2011,Ireland,Gambia,5,9,,,,,,14
2011,Ireland,Iran (Islamic Rep. of),215,81,,,,,,296
2011,Ireland,Iraq,595,113,,,,,,708
2011,Ireland,Mali,,1,,,,,,1
2011,Ireland,Russian Federation,242,57,,,,,,299
2011,Ireland,Somalia,542,190,,,,,,732
2011,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),225,58,,,,,,283
2011,Ireland,Syrian Arab Rep.,27,18,,,,,,45
2011,Netherlands,Afghanistan,5697,1473,,,,,,7170
2011,Netherlands,Eritrea,1880,167,,,,,,2047
2011,Netherlands,Gambia,22,10,,,,,,32
2011,Netherlands,Iran (Islamic Rep. of),3152,786,,,,,,3938
2011,Netherlands,Iraq,18255,1384,920,,,,,20559
2011,Netherlands,Mali,10,10,,,,,,20
2011,Netherlands,Russian Federation,1007,239,,,,,,1246
2011,Netherlands,Somalia,15715,1595,,,,,,17310
2011,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),794,81,,,,,,875
2011,Netherlands,Syrian Arab Rep.,1064,231,,,,,,1295
2011,Poland,Afghanistan,68,34,,,,,,102
2011,Poland,Eritrea,15,0,,,,,,15
2011,Poland,Iran (Islamic Rep. of),13,12,,,,,,25
2011,Poland,Iraq,135,17,,,,,,152
2011,Poland,Russian Federation,14897,1918,,,,,,16815
2011,Poland,Somalia,51,5,,,,,,56
2011,Poland,Serbia and Kosovo (S/RES/1244 (1999)),2,2,,,,,,4
2011,Poland,Syrian Arab Rep.,10,10,,,,,,20
2011,Portugal,Afghanistan,4,4,,,,,,8
2011,Portugal,Eritrea,22,,,,,,,22
2011,Portugal,Gambia,1,2,,,,,,3
2011,Portugal,Iran (Islamic Rep. of),7,14,,,,,,21
2011,Portugal,Iraq,7,4,,,,,,11
2011,Portugal,Russian Federation,11,9,,,,,,20
2011,Portugal,Somalia,33,19,,,,,,52
2011,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),2,,,,,,,2
2011,Sweden,Afghanistan,6620,2204,,,,,,8824
2011,Sweden,Eritrea,5123,616,,,,,,5739
2011,Sweden,Gambia,34,37,,,,,,71
2011,Sweden,Iran (Islamic Rep. of),2681,968,,,,,,3649
2011,Sweden,Iraq,27367,1058,2265,,,,,30690
2011,Sweden,Mali,7,4,,,,,,11
2011,Sweden,Russian Federation,1786,713,,,,,,2499
2011,Sweden,Somalia,17602,1744,,,,,,19346
2011,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),5529,2478,,,,,,8007
2011,Sweden,Syrian Arab Rep.,1206,485,,,,,,1691
2012,Austria,Afghanistan,10158,6203,,,,,,16361
2012,Austria,Eritrea,88,19,,,,,,107
2012,Austria,Gambia,90,95,,,,,,185
2012,Austria,Iran (Islamic Rep. of),2816,804,,,,,,3620
2012,Austria,Iraq,2863,807,,,,,,3670
2012,Austria,Mali,5,34,,,,,,39
2012,Austria,Russian Federation,19517,3157,,,,,,22674
2012,Austria,Somalia,1915,798,,,,,,2713
2012,Austria,Serbia and Kosovo (S/RES/1244 (1999)),3165,1065,,,,,,4230
2012,Austria,Syrian Arab Rep.,1675,694,,,,,,2369
2012,Belgium,Afghanistan,1267,1911,,,,,,3178
2012,Belgium,Eritrea,62,32,,,,,,94
2012,Belgium,Gambia,,21,,,,,,21
2012,Belgium,Iran (Islamic Rep. of),411,657,,,,,,1068
2012,Belgium,Iraq,1541,416,95,,,,,2052
2012,Belgium,Mali,11,95,,,,,,106
2012,Belgium,Russian Federation,2661,562,,,,,,3223
2012,Belgium,Somalia,288,288,,,,,,576
2012,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),983,34,,,,,,1017
2012,Belgium,Syrian Arab Rep.,355,938,,,,,,1293
2012,Germany,Afghanistan,31746,14357,,,,,,46103
2012,Germany,Eritrea,4836,1018,,,,,,5854
2012,Germany,Gambia,502,350,,,,,,852
2012,Germany,Iran (Islamic Rep. of),21629,6618,,,,,,28247
2012,Germany,Iraq,49829,6302,955,,,,,57086
2012,Germany,Mali,86,201,,,,,,287
2012,Germany,Russian Federation,40204,4668,,,,,,44872
2012,Germany,Somalia,3634,1972,,,,,,5606
2012,Germany,Serbia and Kosovo (S/RES/1244 (1999)),113809,10620,,,,,,124429
2012,Germany,Syrian Arab Rep.,18165,5986,,,,,,24151
2012,Denmark,Afghanistan,2515,361,,,,,,2876
2012,Denmark,Eritrea,46,16,,,,,,62
2012,Denmark,Gambia,,8,,,,,,8
2012,Denmark,Iran (Islamic Rep. of),1529,181,,,,,,1710
2012,Denmark,Iraq,1165,54,705,,,,,1924
2012,Denmark,Mali,,2,,,,,,2
2012,Denmark,Russian Federation,842,161,,,,,,1003
2012,Denmark,Somalia,531,78,,,,,,609
2012,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),1192,35,,,,,,1227
2012,Denmark,Syrian Arab Rep.,1903,115,,,,,,2018
2012,Spain,Afghanistan,92,35,,,,,,127
2012,Spain,Eritrea,33,25,,,,,,58
2012,Spain,Gambia,8,30,,,,,,38
